loja,mercado,idioma,moeda,mes,data_envio,campanha,papel,segmento_ampliado,modelo,estrutura,altura_px,desconto_pct,envios,aberturas,cliques,pedidos,receita,descadastros,spam,abertura_pct,clique_pct,clique_em_pedido_pct,receita_por_mil_envios,indice,descadastro_pct
Brinque Mais,Brasil,pt,BRL,ago,26/08,"Semana 15%, Escolha o caminho",semana15,sim,,,,,36890,5060,72,10,1833.85,32,5,13.7,0.2,13.9,49.7,0.92,0.09
Brinque Mais,Brasil,pt,BRL,ago,28/08,Notificação do futuro,notificacao,sim,,,,,37197,5271,291,18,4606.11,29,0,14.2,0.78,6.2,123.8,2.28,0.08
Brinque Mais,Brasil,pt,BRL,ago,31/08,Catálogo fecha mês,catalogo,sim,,,,,37684,5031,225,15,3350.34,33,3,13.4,0.6,6.7,88.9,1.64,0.09
Brinque Mais,Brasil,pt,BRL,set,03/09,"Esquenta 9.9, 1, Enc",antecipacao,sim,,,,,38310,5247,57,23,4822.23,32,2,13.7,0.15,40.4,125.9,2.32,0.08
Brinque Mais,Brasil,pt,BRL,set,05/09,"Esquenta 9.9, 2, prometi avisar",antecipacao,nao,,,,,19834,5209,258,13,2985.46,33,3,26.3,1.3,5.0,150.5,2.77,0.17
Brinque Mais,Brasil,pt,BRL,set,07/09,7 de Setembro,datacomemorativa,nao,,,,,20544,4828,192,3,426.79,29,4,23.5,0.93,1.6,20.8,0.38,0.14
Brinque Mais,Brasil,pt,BRL,set,08/09,"Esquenta 9.9, 4, véspera",vespera,nao,,,,,20868,5312,218,8,1842.53,32,4,25.5,1.04,3.7,88.3,1.63,0.15
Brinque Mais,Brasil,pt,BRL,set,09/09 07h,"9.9, 1, cupom liberado",pico 7h,nao,,,,,13447,5071,66,12,2090.93,30,3,37.7,0.49,18.2,155.5,2.86,0.22
Brinque Mais,Brasil,pt,BRL,set,09/09 11h,"9.9, 2, acesso liberado",pico 11h,nao,,,,,13435,5057,222,10,2040.64,32,4,37.6,1.65,4.5,151.9,2.8,0.24
Brinque Mais,Brasil,pt,BRL,set,09/09 18h,"9.9, 3, status mudou",pico 18h,nao,,,,,13445,6081,301,22,4263.96,37,3,45.2,2.24,7.3,317.1,5.84,0.28
Brinque Mais,Brasil,pt,BRL,set,11/09,Ressaca 9.9,ressaca,nao,,,,,13536,5381,359,19,4354.68,30,2,39.8,2.65,5.3,321.7,5.93,0.22
Brinque Mais,Brasil,pt,BRL,set,14/09,Antecipação Dia do Cliente,vespera,nao,,,,,13824,5270,83,9,2173.0,22,2,38.1,0.6,10.8,157.2,2.9,0.16
Brinque Mais,Brasil,pt,BRL,set,15/09 07h,"Dia do Cliente, 1, escolhido",pico 7h,nao,,,,,13980,5228,91,5,1361.45,27,1,37.4,0.65,5.5,97.4,1.79,0.19
Brinque Mais,Brasil,pt,BRL,set,15/09 11h,"Dia do Cliente, 2, aprovado?",pico 11h,nao,,,,,13969,5079,218,4,772.99,20,1,36.4,1.56,1.8,55.3,1.02,0.14
Brinque Mais,Brasil,pt,BRL,set,15/09 18h,"Dia do Cliente, 3, prêmio",pico 18h,nao,,,,,14020,5260,244,18,3275.32,27,1,37.5,1.74,7.4,233.6,4.3,0.19
Brinque Mais,Brasil,pt,BRL,set,17/09,"Semana do Cliente, 1",extensao,nao,,,,,14242,4855,222,9,2376.47,17,3,34.1,1.56,4.1,166.9,3.07,0.12
Brinque Mais,Brasil,pt,BRL,set,19/09,"Semana do Cliente, 2",extensao,nao,,,,,14516,4727,200,9,1655.15,20,3,32.6,1.38,4.5,114.0,2.1,0.14
